transaction_id,transaction_date,merchant_name,raw_amount,currency,status,risk_score,gateway_region,user_id,payment_method,merchant_id,amount_usd,account_manager,merchant_category,high_value_flag,high_risk_flag
T001,2026-03-01,Alpha Mart,420000,INR,captured,62,APAC,U001,UPI,M001,4998.0,Aisha Khan,Grocery,0,0
T002,2026-03-01,Alpha Mart,210000,INR,captured,55,APAC,U002,Card,M001,2499.0,Aisha Khan,Grocery,0,0
T003,2026-03-01,Beta Stores,510000,INR,captured,71,APAC,U003,NetBanking,M002,6069.0,Rohan Mehta,Electronics,1,1
T004,2026-03-02,Beta Stores,160000,INR,failed,68,APAC,U004,Card,M002,1920.0,Rohan Mehta,Electronics,0,0
T005,2026-03-02,Alpha Mart,390000,INR,captured,58,APAC,U001,UPI,M001,4680.0,Aisha Khan,Grocery,0,0
T006,2026-03-02,Beta Stores,275000,INR,captured,64,APAC,U005,Wallet,M002,3300.0,Rohan Mehta,Electronics,0,0
T007,2026-03-02,Alpha Mart,450000,INR,chargeback,83,APAC,U006,Card,M001,5400.0,Aisha Khan,Grocery,1,1
T008,2026-03-03,Beta Stores,340000,INR,captured,59,APAC,U007,UPI,M002,4114.0,Rohan Mehta,Electronics,0,0
T009,2026-03-03,Alpha Mart,125000,INR,captured,46,APAC,U002,Wallet,M001,1512.5,Aisha Khan,Grocery,0,0
T010,2026-03-03,Beta Stores,610000,INR,captured,77,APAC,U003,Card,M002,7381.0,Rohan Mehta,Electronics,1,1
T011,2026-03-03,Alpha Mart,195000,INR,failed,61,APAC,U008,UPI,M001,2359.5,Aisha Khan,Grocery,0,0
T012,2026-03-04,Beta Stores,250000,INR,captured,61,APAC,U009,Card,M002,3000.0,Rohan Mehta,Electronics,0,0
T013,2026-03-04,Alpha Mart,310000,INR,captured,54,APAC,U010,UPI,M001,3720.0,Aisha Khan,Grocery,0,0
T014,2026-03-04,Beta Stores,470000,INR,captured,73,APAC,U001,NetBanking,M002,5640.0,Rohan Mehta,Electronics,1,1
T015,2026-03-04,Alpha Mart,130000,INR,captured,52,APAC,U002,Card,M001,1560.0,Aisha Khan,Grocery,0,0
T016,2026-03-05,Beta Stores,220000,INR,failed,69,APAC,U008,Card,M002,2596.0,Rohan Mehta,Electronics,0,0
T017,2026-03-05,Beta Stores,180000,INR,failed,72,APAC,U008,Card,M002,2124.0,Rohan Mehta,Electronics,0,1
T018,2026-03-05,Beta Stores,145000,INR,chargeback,86,APAC,U008,UPI,M002,1711.0,Rohan Mehta,Electronics,0,1
T019,2026-03-05,Alpha Mart,260000,INR,failed,67,APAC,U008,Wallet,M001,3068.0,Aisha Khan,Grocery,0,0
T020,2026-03-05,Alpha Mart,520000,INR,captured,75,APAC,U005,UPI,M001,6136.0,Aisha Khan,Grocery,1,1
T021,2026-03-06,Beta Stores,330000,INR,captured,63,APAC,U006,Card,M002,3927.0,Rohan Mehta,Electronics,0,0
T022,2026-03-06,Alpha Mart,410000,INR,captured,60,APAC,U007,UPI,M001,4879.0,Aisha Khan,Grocery,0,0
T023,2026-03-01,City Pharma,5200,EUR,captured,42,EU,U003,Card,M003,5616.0,Elena Rossi,Healthcare,0,0
T024,2026-03-02,Eco Home,6100,EUR,chargeback,65,EU,U004,Card,M005,6649.0,Nina Weber,Home,1,1
T025,2026-03-03,City Pharma,2800,EUR,captured,38,EU,U005,Wallet,M003,3024.0,Elena Rossi,Healthcare,0,0
T026,2026-03-05,Eco Home,3300,EUR,failed,44,EU,U006,NetBanking,M005,3597.0,Nina Weber,Home,0,0
T027,2026-03-01,Delta Travels,7200,USD,captured,49,US,U007,Card,M004,7200.0,Marcus Lee,Travel,1,0
T028,2026-03-02,Delta Travels,3100,USD,captured,41,US,U008,Card,M004,3100.0,Marcus Lee,Travel,0,0
T029,2026-03-04,Delta Travels,2500,USD,chargeback,58,US,U009,Wallet,M004,2500.0,Marcus Lee,Travel,0,1
T030,2026-03-06,Delta Travels,1800,USD,failed,47,US,U010,UPI,M004,1800.0,Marcus Lee,Travel,0,0
